Review,feature,ads,performance,overall_sentiment
"Alhamdulillah.. the best al quran application, easy to use every day and carry anywhere.. I pray that God will bless and reward the developer of this best application.. aamiin yaa rabbal aalamiin😄🤲.. tqvm admin",Positive,Positive,Positive,positive
"the best quraan app you can find. it literally has word by word translation and a tafsir option, which is very useful for non arab people. this app has NO ADS and is literally FREE, tho there is a donate option for anyone who wants to help. may Allah be pleased with us and help us do sadka jariya",Positive,Positive,Positive,positive
Very helpful,Positive,Positive,Positive,positive
The recent edition does explain the source of suratul alaq,Neutral,Neutral,Neutral,neutral
May Allah reward you richly rewarded,Positive,Neutral,Positive,positive
I've rate 5 star but the app could give us mor fonts; for example simple font or Othman Taha font.,Negative,Neutral,Negative,neutral
"Outstanding apps,Though audio is not working..",Positive,Positive,Positive,negative
This is app is amizing and i really liked,Positive,Positive,Positive,positive
Good app.,Positive,Positive,Positive,positive
Masha Allah,Neutral,Neutral,Neutral,positive
"Linked to this application, thank you",Positive,Neutral,Neutral,positive
Very good and easy app,Positive,Positive,Positive,positive
Best App to read The Holy Quran.. Love it so much....word by word meaning and it's tafsir makes it more helpful to common user....,Positive,Positive,Positive,positive
Very excited,Positive,Positive,Positive,positive
I really enjoy it,Positive,Positive,Positive,positive
It was helpful to have a translator.,Neutral,Neutral,Positive,positive
Recent update has ruined the app. More glitches. Highlighting and verses don't follow the audio. Please fix to how it was before this recent update.,Negative,Negative,Negative,negative
Masha Allah. This is one of the best Qur'an app i have seen so far. With great features that makes learning and recitation easier.,Positive,Positive,Positive,positive
May allah bless and reinforce you,Neutral,Neutral,Positive,positive
Fantastic,Positive,Positive,Positive,positive
SubhanAllah,Neutral,Neutral,Positive,positive
Good app,Positive,Positive,Positive,positive
MashAllah Amazing App! Well organised & smooth flow🤍🤍🤍🤍,Positive,Positive,Positive,positive
Perfect💗,Positive,Positive,Positive,positive
"5 stars are missing, I give 100 stars!!! I recommend it to everyone, many Arab teachers recommend this program. I think you can download it. 👍👍👍👍👍👍 May God be pleased with you",Positive,Positive,Positive,positive
Great app,Positive,Positive,Positive,positive
I really like this👍,Positive,Positive,Positive,positive
Very helpful,Positive,Positive,Positive,positive
"Ma Sha Allah, a great app to learn to read Arabic. Also, each verse of the surah is followed by a tafsir for mental progress. May Allah bless you and your business!",Positive,Positive,Positive,positive
It is the most beneficiary app i have seen. jazakallah,Positive,Neutral,Positive,positive
It is free and has so many functions. I LOVE IT. Jazak Allah! to the developers of this app...,Positive,Positive,Positive,positive
"Masha Allah very good in translation, it's really nice app",Positive,Positive,Positive,positive
Thank you very much,Positive,Positive,Positive,positive
It's THE BEST,Positive,Positive,Positive,positive
"Looking at all the good comments, it makes me want to use this Anroit Al-Qur'an even more quickly. May blessings be upon all, amen",Positive,Positive,Positive,positive
three good,Positive,Positive,Positive,positive
Excellent,Positive,Positive,Positive,positive
I love the app,Positive,Positive,Positive,positive
"Great, very helpful",Positive,Positive,Positive,positive
This app is very good to every muslim to read and listing and also understand the meaning of verses of qur an may Allh grantu jannatul firdaus thsnk,Positive,Neutral,Positive,positive
This is the best app to learn Al Quran.,Neutral,Neutral,Positive,positive
Best app ever focus on your deen,Positive,Positive,Positive,positive
Allah bless you with Al Ferdus inshallah for your effort ❤️,Positive,Neutral,Positive,positive
This is the best app of Quran I have ever seen. NO ADD. EASY TO USE.JUST AMAZING. ALHAMDULILLAH.,Positive,Negative,Positive,positive
This is very useful app,Positive,Positive,Positive,positive
Thank you very much,Positive,Positive,Positive,positive
