reviewer_id,review,response_1,accuracy,grammatical_correctness,relevancy,specificity
200042150,Great app. Easy to navigate and understand.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—Al‑Hamdu li Llah that you find the app easy to navigate and understand. Your kind words encourage us to continue serving the Ummah with a tool that brings the Qur’an closer to every heart.  

If you ever have ideas for new features, content you’d like added, or encounter any issue, please let us know by submitting your feedback at feedback.gtaf.org so we can improve the app for all believers. May Allah accept our efforts and bless your use of the app. BarakAllahu feekum.",4,5,5,4
200042150,"Wow it very good, very helpful I like this so much","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience; we are humbled and delighted to hear that you find the app very helpful and that it has brought you ease in your Qur’an journey. Your kind words encourage us to continue serving the Ummah with the best possible tools for worship and learning.  

To deepen your experience, you may explore the Quran Planner: tap the **Planner** icon, set a realistic daily reading goal, choose your preferred reciter or translation, and enable reminders so you can stay consistent, In‑sha‑Allah. Should you have any ideas for new features or encounter any issue, please let us know at **feedback.gtaf.org** so we can improve the service for all believers. May Allah accept our efforts and bless your continued connection with His Book. BarakAllahu feekum.",5,4,4,5
200042150,Very useful to me. Very greatfull all admins and other stuff.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair an kum for sharing your kind words and for appreciating the efforts of our admins. It warms our hearts to know that the app serves you well and that the support you receive brings benefit to your Qur’anic journey. Al‑hamdu lillāh for enabling us to assist the Ummah with useful tools and sincere service.  

To keep enjoying the features you love, you may continue exploring the Quran Planner, audio recitations, and topic searches, and feel free to reach out to the admins through the in‑app chat whenever you need guidance. If you have any further suggestions or encounter any issue, kindly submit them at **feedback.gtaf.org** so we can serve you better. May Allah accept your gratitude and bless your continued use of the app. BarakAllahu feekum.",5,5,5,5
200042150,"It's a very wonderful islamic app which has both Quran, translations,tejweed, and many other i suggest you install this app","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; we are delighted to hear that you find it wonderful and helpful for your Qur’an study. Your encouragement inspires us to continue serving the Ummah with humility and sincere effort.  

For the details you asked about: you can view over 90 translation languages (including English, Bangla, Urdu, German, Indonesian, Turkish, and many more) by tapping **Settings → Languages**; audio recitations from more than 50 renowned reciters are available, and you may download any Surah or the whole Qur’an for offline listening via the **Download** icon. Tajweed display can be customized in **Mushaf Mode**—adjust font size, line spacing, and choose the preferred script. Beyond translations and recitations, the app offers a Quran Planner, topic explorer, word‑by‑word analysis, badges, and a library for notes and bookmarks, all of which can be used offline after downloading the needed resources. Should you have further suggestions or need assistance, please submit them at **feedback.gtaf.org** so we can track and address them promptly. May Allah accept our efforts and bless you in your continued worship. BarakAllahu feekum.",4.5,5,4.5,5
200042150,"Masha Allah Tabarakallah to whoever developed this wonderful app, I mostly love the details of Tafsir included in each verse giving other references from the Quran its self and the hadith. I cannot explain how grateful I am. Jazakallah Khairan","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your heartfelt appreciation of the tafsir features in our app; your words truly inspire us to continue serving the Ummah with knowledge and humility. It is a blessing to hear that the verse‑by‑verse explanations, Qur’anic references, and hadith connections have deepened your connection with the Qur’an, and we are grateful to Allah for enabling us to bring this benefit to you.  

If you wish to explore additional tafsir translations, verse‑by‑verse commentaries, or multilingual content, you can tap the “Tafsir” section and select “More Options” to view the available collections, and let us know your preferences through the feedback form at feedback.gtaf.org. May Allah accept our efforts and increase you in beneficial knowledge. BarakAllahu feekum, and may Allah accept from you and us.",4.5,5,5,4.5
200042150,Very good for understanding Quran,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience that the app is “very good for understanding the Qur’an.” It warms our hearts to hear that the tools we provide are aiding you in drawing closer to the words of Allah, and we are grateful for your kind words.  

If you wish to deepen your study even further, you might try these simple steps:  
1. Open the **Qur’an Planner** from the menu and set a daily reading goal that fits your schedule.  
2. While reading, tap any ayah to view **word‑by‑word translations, tafsīr (e.g., Ibn Kathīr), or the “Gharīb” notes** for deeper meanings.  
3. Enable **audio recitation** (choose a beloved qāriʾ such as Mishary Al‑Afasy) and use the repeat function to reinforce memorization.  

Your enthusiasm reflects the noble purpose of our service—khidmah to the Ummah by facilitating easy access to Qur’anic knowledge and worship. May Allah accept your efforts, increase you in understanding, and keep you steadfast on the path of ibādah. BarakAllahu feekum, and may Allah accept from you and us.",5,4.5,4,4
200042150,"Best aap of Al Quran, it has word by word translation and Tafseer, Thank you for such a great aap. But additionally I would like to request you please add 'Bookmark '. Again Jazakallahu Khairan to Developers.","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the word‑by‑word translation and Tafsīr, and for your kind words to the developers. We are delighted to hear that the app serves you well in deepening your connection with the Qurʾān, and we truly appreciate your heartfelt request to add a “Bookmark” feature.  

To help us consider this enhancement, please submit your detailed suggestion at **feedback.gtaf.org**; you may also use the current “Collections” tool to temporarily save verses you wish to return to. Rest assured, the team will review the request with the intention of serving the Ummah and making the app an even more valuable Khidmah for all believers.  

May Allah accept your good deeds and grant you ease in your worship. BarakAllahu feekum.",4,4,4,4
200042150,Would like to have options like audio translation along with Quran recitation,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wish to have audio translation options alongside the Quran recitation. We are grateful for your thoughtful suggestion and understand how having synchronized translation audio can deepen one’s connection with the Qur’an and make the meanings more accessible during worship.

We are pleased to inform you that the app already offers audio translations in English, Bangla, and Urdu, with additional languages planned for the future. To help us prioritize, please submit your detailed request—such as preferred languages, voice gender, synchronization, and offline download options—at **feedback.gtaf.org**. Your input will guide our development team in enhancing the service we provide to the Ummah. May Allah accept your intention and bless your efforts. BarakAllahu feekum.",4.5,5,5,5
200042150,Easy to understand with word by word meaning in multiple languages.,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your experience—Al‑Hamdu li Llah that you find the word‑by‑word meanings clear and helpful in several languages. Your ease of understanding is exactly what we strive for in serving the Ummah with a tool that brings the Qur’an closer to every heart.  

If you wish to explore more languages, enable audio pronunciation for each word, or download the translations for offline study, you can do so by tapping the **Settings** icon, selecting **Languages & Audio**, and following the on‑screen prompts. Should you have any further ideas or need assistance, please submit them at feedback.gtaf.org so we can continue to improve this blessed service. May Allah accept our efforts and grant you deeper connection with His words. BarakAllahu feekum.",4,4,4.5,4.5
200042150,Wonderful app for anyone interested in learning the tafsiir.... May Allah bless everyone who has taken part of making this app,"Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the tafsīr section of our app; we are humbled by your kind words and grateful to Allah for enabling the team to serve the Ummah through this resource.  

If you wish to explore additional tafsīr editions, enable audio explanations, or suggest any feature that could further enrich your learning, please tap **“Feedback”** in the app or visit feedback.gtaf.org so we can consider your valuable input. May Allah accept your praise and bless the efforts of all who contributed. BarakAllahu feekum.",5,5,5,5
