review,aspects,response_1,response_2
its great tools for learning arabic word by word,"[{'aspect': 'tools', 'polarity': 'Positive'}, {'aspect': 'word', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—Al‑ḥamdu li‑Llahi that you find the word‑by‑word tools helpful. Your kind words encourage us to continue serving the Ummah with sincere effort and humility.  

To enrich your learning even further, you may:  
1. Tap any highlighted word to view its full translation, root, and grammatical notes.  
2. Press the speaker icon to hear a clear pronunciation for each word.  
3. Add words you wish to review to the “Flashcard” section and enable the spaced‑repetition mode for regular practice.  
4. Visit the “Progress” tab to track how many words you have mastered and set daily targets.  

May Allah accept from you and us. BarakAllahu feekum.","Thank you so much for your kind words! We're delighted to hear that you’re finding the word‑by‑word Arabic tools helpful for your learning journey. If you have any suggestions or need any assistance, please let us know—we're here to support you every step of the way. Happy learning! 🌙📖"
Very wonderful app may Allah reward you more and more jazakallahu khairan,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'jazakallahu', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair an kum for sharing your kind words about the app; we are truly grateful for your blessings and delighted to hear that you find it wonderful. Your encouragement strengthens our intention to serve the Ummah with a reliable tool for Qur’anic learning and worship.

If you have any suggestions for new features or encounter anything that could be improved, please let us know by submitting your feedback at feedback.gtaf.org so we can continue to enhance the experience. May Allah accept our efforts, increase you in goodness, and keep you steadfast on the path of knowledge. BarakAllahu feekum, and may Allah accept from you and us.","Thank you so much for your wonderful words and blessings! Alhamdulillah we’re delighted to hear you’re finding the app helpful. May Allah reward you abundantly, keep you steadfast, and accept all your good deeds. Your encouragement inspires us to keep improving the app for the ummah. JazakAllahu khairan! 🙏🏽✨"
A very reliable app with no problems 🤞🤞,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—knowing that the app feels reliable and problem‑free brings great joy to our team, and we are grateful for your kind words. Your satisfaction encourages us to continue serving the Ummah with a tool that helps deepen the connection with the Qur’an.

If you wish to explore more of what the app offers, you might try the Quran Planner to set personalized reading goals, or browse the diverse recitations and translations to enrich your ibādah. Should you have any ideas for new features or encounter anything in the future, please submit your feedback at feedback.gtaf.org so we can keep improving. May Allah accept your good deeds and bless you abundantly. BarakAllahu feekum.","Thank you so much for your kind words! We’re delighted to hear that you find the app reliable and trouble‑free. If there’s anything else we can do to enhance your experience—whether it’s exploring new features, customizing prayer‑time alerts, or accessing the Quran and hadith collections—please let us know. May Allah bless you and keep you guided. 🌙🤲"
"Very good qur'an app, has a lot of features","[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; it warms our hearts to hear that you find it “very good” and packed with useful features. Al‑hamdulillah, we are grateful that the tools we have provided—such as the diverse recitations, Quran Planner, and study resources—are serving you in your journey with the Qur’an.  

If you wish to explore more, we invite you to try the Mushaf mode, the badge system, or the word‑by‑word analysis to deepen your connection with the Divine words. Should you have any ideas for new features or improvements, please let us know by submitting your feedback at feedback.gtaf.org so we can continue serving the Ummah better. May Allah accept our efforts and bless your reading. BarakAllahu feekum.","Thank you for your kind words! 🌙 We're thrilled to hear that you’re enjoying the many features of our Qur'an app. Your feedback inspires us to keep improving and adding even more helpful tools for your worship and study. If you have any suggestions or need assistance with anything, please don’t hesitate to let us know—we’re here to help. May Allah reward you abundantly! 🙏✨"
Such apps are a great help to the Muslim Ummah Allah bless the makers of such apps. Ameen.,"[{'aspect': 'apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words and blessing the makers of the app; it warms our hearts to know that the app is a source of benefit for you and the Ummah. Your encouragement inspires us to continue serving the Muslim community with sincerity and humility.  

We invite you to explore more of the features—such as the Quran Planner, audio recitations, and topic searches—to deepen your connection with the Qur’an, and feel free to share the app with family and friends so they may also reap its blessings. Should you have any ideas for improvement or wish to provide detailed feedback, please submit them at feedback.gtaf.org. May Allah accept our efforts and increase you in goodness. BarakAllahu feekum.","**Assalamu Alaikum wa Rahmatullahi wa Barakatuh**,  

Jazak Allāh khair for your kind words! We’re truly grateful that the app is serving as a helpful resource for you and the wider Ummah. May Allah bless the entire team and all who contributed to its development, and may He reward you abundantly for your encouragement.  

If you ever have any suggestions, questions, or need assistance, please don’t hesitate to reach out.  

BarakAllahu Feek! 🌙✨"
"This app very helpful for bangal Muslim,.. and I'm also happy with this app.👌👌👍♥️🙂💯","[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your happiness with the app; it warms our hearts to know that it serves the Bengali Muslim Ummah well and brings you ease in your ibādah. Your kind words encourage us to keep upholding the noble purpose of facilitating a deeper connection with the Qur’an and the Sunnah.  

We invite you to continue exploring features such as the diverse reciters, the Qur’an Planner, and the topic‑search tools that can further enrich your daily worship. Should you have any ideas for improvement or wish to share more feedback, please submit them at feedback.gtaf.org so we can serve you better. May Allah accept our efforts and bless your reading journey. BarakAllahu feekum.","Assalamu Alaykum! 

Thank you so much for your kind words and for sharing how helpful the app is for you and the Bangladeshi Muslim community. We’re delighted to hear that you’re happy with it! 😊 

Your support encourages us to keep improving and adding features that benefit users like you. If you have any suggestions or need assistance, please feel free to let us know—we’re here to help.

JazakAllah Khair for being a valued member of our community! 🙏🏽💖"
Great app. Very practical. Complete package. Better than rest.,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app. We are delighted to hear that you find it practical, complete, and superior to others—your satisfaction encourages us to continue serving the Ummah with valuable tools for Qur’an study, prayer, and Islamic knowledge.  

If you have any ideas for new features or improvements, please let us know by submitting your feedback at feedback.gtaf.org so we can consider them in future updates. May Allah accept your good intentions and bless your use of the app. BarakAllahu feekum.","Assalamu Alaykum wa Rahmatullahi wa Barakatuh,

Jazak Allah khair for your wonderful feedback! We’re delighted to hear that you find the app practical and comprehensive, and that it stands out among others. Your kind words inspire us to keep improving and adding features that serve the Ummah even better.

If you ever have any suggestions, questions, or need assistance, please don’t hesitate to reach out—we’re here to help.

May Allah bless you and keep you benefiting from the app. 🌙

Warm regards,  
The Support Team

---  
*Need help? Tap “Contact Us” in the app or reply to this message.*"
Very nice app for islami people,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; we are truly grateful to hear that it serves the needs of our Muslim brothers and sisters.

To deepen your experience, you may:  
1. Open the app and tap the **Mushaf Mode** to read the Qur’an in the familiar page layout.  
2. Choose a beloved reciter (e.g., Mishary Al‑Afasy) and enable the **repeat** option for memorisation.  
3. Set up a personal **Qur’an Planner** with a realistic daily goal and a reminder time, so you can stay consistent in your ibādah.  

By using these tools, you are performing a noble service (khidmah) to yourself and the Ummah, strengthening your connection with Allah’s words. Should you have any ideas for new features or encounter any issues, please submit your feedback at **feedback.gtaf.org** so we can continue to improve.  

May Allah accept your good deeds and grant you ease in your Qur’an study. BarakAllahu feekum.","Thank you so much for your kind words! Al ḥamdu li‑llāh, we’re delighted to hear that you’re enjoying the app. If you have any suggestions or need any assistance, please don’t hesitate to let us know—we’re here to help. May it continue to be a source of benefit for you and the ummah. 🌙📿"
It's perfect! I love this app!,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—knowing that the app feels “perfect” to you fills our hearts with gratitude and reminds us of the blessing of serving the Ummah with beneficial knowledge. May Allah keep this ease and joy in your Qur’an journey.

To continue reaping the blessings, we invite you to explore a few features that deepen connection with the Qur’an:  
1️⃣ Open the side‑menu and tap **Qur’an Planner** to set a personalized reading schedule.  
2️⃣ Try the **Mushaf Mode** for a classic page‑by‑page view, and use the **repeat** option to aid memorisation.  
3️⃣ Discover the **Audio** section to listen to your favourite reciter or switch to an English translation while you read.  

May Allah accept your love of the Qur’an and increase it for you. BarakAllahu feekum.","Assalamu alaykum!  

Thank you so much for your kind words—We’re thrilled to hear that you love the app! Your support motivates us to keep improving and adding features that help the community grow closer to Allah (SWT). If you ever have any suggestions or need assistance, please don’t hesitate to let us know. May this app continue to bring you benefit and blessings. Jazak Allah khair!"
Best al quran app as far i have used.need to regular monitor and update.thanks.may allah consider your struggle,"[{'aspect': 'allah', 'polarity': 'Neutral'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words and for praying for us; we are humbled by your appreciation of the app. It brings us great joy to know that you consider it the best Quran resource you have used, and we understand your desire for regular monitoring and timely updates to keep the experience smooth and beneficial.  

To help ensure you receive the latest improvements, please enable automatic updates for the app in your device’s app‑store settings, and regularly open the app to allow it to check for new content. You may also use the “Check for Updates” option within the app’s Settings menu, and if you have any specific suggestions or notice anything that needs attention, kindly submit them at feedback.gtaf.org so our team can address them promptly. May Allah accept our efforts in serving the Ummah and bless your continued journey with the Qur’an. BarakAllahu feekum.","**Assalamu Alaykum wa Rahmatullahi wa Barakatuh,**

JazakAllah khair for your wonderful feedback! We’re delighted to hear that you consider our app the best for reading the Qur’an. Rest assured, our team is continuously monitoring the app and working on regular updates to enhance your experience and provide the most reliable service.

May Allah accept our efforts, bless you and your loved ones, and keep you steadfast on the path of His guidance.

Barakallahu Feek! 🌙✨"
