id,review,aspects
0,its great tools for learning arabic word by word,"[{'aspect': 'tools', 'polarity': 'Positive'}, {'aspect': 'word', 'polarity': 'Positive'}]"
1,Very wonderful app may Allah reward you more and more jazakallahu khairan,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'jazakallahu', 'polarity': 'Positive'}]"
5,A very reliable app with no problems 🤞🤞,"[{'aspect': 'app', 'polarity': 'Positive'}]"
7,"Very good qur'an app, has a lot of features","[{'aspect': 'app', 'polarity': 'Positive'}]"
8,Such apps are a great help to the Muslim Ummah Allah bless the makers of such apps. Ameen.,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
9,"This app very helpful for bangal Muslim,.. and I'm also happy with this app.👌👌👍♥️🙂💯","[{'aspect': 'app', 'polarity': 'Positive'}]"
10,Great app. Very practical. Complete package. Better than rest.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
11,Very nice app for islami people,"[{'aspect': 'app', 'polarity': 'Positive'}]"
12,It's perfect! I love this app!,"[{'aspect': 'app', 'polarity': 'Positive'}]"
13,Best al quran app as far i have used.need to regular monitor and update.thanks.may allah consider your struggle,"[{'aspect': 'allah', 'polarity': 'Neutral'}]"
14,Awesome. Truly enjoying it and I advice every muslim to have a download of this app.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
15,Wallah one of the best apps on the planet,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
16,Al hamdullilah Best App made word by word and background voice recetation feel understand with translation very effective jazak'Allah Khairan Team Great Rewards,"[{'aspect': 'translation', 'polarity': 'Positive'}]"
17,Masha Allah. Very important application for Muslims.,"[{'aspect': 'application', 'polarity': 'Positive'}]"
18,I love using this app while making quran notes or Quran journal. MashaAllah must have app. JazakAllahu khairan,"[{'aspect': 'app', 'polarity': 'Positive'}]"
19,Alhamdhulillah. Thanks to developer,"[{'aspect': 'developer', 'polarity': 'Neutral'}]"
20,Alhamdulillah.. this app is really helpful.. Jazakillah,"[{'aspect': 'app', 'polarity': 'Positive'}]"
21,I Love this app so much. & I'm recommend all my friend installed this app. Learn Al-Quran. Love you authorities for made a perfect Holy Quran.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
22,Greatest apps for understanding Quran word by word.,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
23,All you need in a Quran app. Beautiful and tons of options to interact with the words of Allah ta'ala. An invaluable tool. May Allah be pleased with your efforts. Barak Allahu feekum.,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'options', 'polarity': 'Positive'}]"
24,ALHAMDULILLAH Upon the Ni'imah of this Qur'an App.,"[{'aspect': 'App', 'polarity': 'Neutral'}]"
25,Easy to read & understand translation.,"[{'aspect': 'read', 'polarity': 'Positive'}]"
26,One of the best Qur'an applications I've ever used!,"[{'aspect': 'applications', 'polarity': 'Positive'}]"
27,I downloaded multiple Qur'an apps and I found this one is the best from all the them. This apps gives ton of option to choose from according to your needs.,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
29,"Masha'Allah, without single doubt this best and completed Al-Quran App, Alhamdullulillah. Jazakallah khair","[{'aspect': 'App', 'polarity': 'Positive'}]"
30,Quite possibly the best Qur'an app out there!,"[{'aspect': 'app', 'polarity': 'Positive'}]"
32,Masha allah Great app May allah reward everyone since he is the most merciful Nice app love dark mode...,"[{'aspect': 'allah', 'polarity': 'Positive'}]"
33,Very good translation and Tafseer. Easy to understand. Provision of bookmark is very useful. May Allah reward all those who contributed in this project in any way.,"[{'aspect': 'translation', 'polarity': 'Positive'}, {'aspect': 'Tafseer', 'polarity': 'Positive'}]"
34,I highly appreciate the app and suggest to include modern scientific explaination of the HOLY QURAN,"[{'aspect': 'app', 'polarity': 'Negative'}]"
35,Ma sha Allah One of the best app ever,"[{'aspect': 'app', 'polarity': 'Positive'}]"
36,Great app. Easy to navigate and understand.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
37,"Wow it very good, very helpful I like this so much","[{'aspect': 'helpful', 'polarity': 'Positive'}]"
38,Very useful to me. Very greatfull all admins and other stuff.,"[{'aspect': 'admins', 'polarity': 'Positive'}]"
39,"It's a very wonderful islamic app which has both Quran, translations,tejweed, and many other i suggest you install this app","[{'aspect': 'app', 'polarity': 'Positive'}]"
40,"Masha Allah Tabarakallah to whoever developed this wonderful app, I mostly love the details of Tafsir included in each verse giving other references from the Quran its self and the hadith. I cannot explain how grateful I am. Jazakallah Khairan","[{'aspect': 'app', 'polarity': 'Positive'}]"
41,Very good for understanding Quran,"[{'aspect': 'Quran', 'polarity': 'Positive'}]"
42,"Best aap of Al Quran, it has word by word translation and Tafseer, Thank you for such a great aap. But additionally I would like to request you please add 'Bookmark '. Again Jazakallahu Khairan to Developers.","[{'aspect': 'aap', 'polarity': 'Positive'}, {'aspect': 'Tafseer', 'polarity': 'Positive'}, {'aspect': 'Bookmark', 'polarity': 'Neutral'}]"
43,Would like to have options like audio translation along with Quran recitation,"[{'aspect': 'Quran', 'polarity': 'Neutral'}]"
45,Easy to understand with word by word meaning in multiple languages.,"[{'aspect': 'understand', 'polarity': 'Positive'}]"
47,Wonderful app for anyone interested in learning the tafsiir.... May Allah bless everyone who has taken part of making this app,"[{'aspect': 'app', 'polarity': 'Positive'}]"
48,excellent app may Allah reward you for this great service,"[{'aspect': 'app', 'polarity': 'Positive'}]"
49,Beautiful app may Allah give you more reward for Such great work.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
50,This application is Literally just Amazing 🤩,"[{'aspect': 'application', 'polarity': 'Positive'}]"
51,They openly give very important news than others apps,"[{'aspect': 'news', 'polarity': 'Positive'}]"
52,"I never uninstalled this app. This app is advertisement free. I can easily see the prayer times, sehri and iftar time from any location. This app has many other useful features like qibla compass, many important Dua, Al Quran and many more.","[{'aspect': 'app', 'polarity': 'Positive'}]"
53,This is a very good app I just love the app,"[{'aspect': 'app', 'polarity': 'Positive'}]"
54,Maa.Shaa.ALLAH. complete.translation,"[{'aspect': 'translation', 'polarity': 'Positive'}]"
55,All the best quranul karim apps,"[{'aspect': 'apps', 'polarity': 'Positive'}]"
57,An amazing app. I suggest everyone to download it.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
59,Infact this app is the best Quran app and I recommend it to everyone just start and you are good to go,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'Quran', 'polarity': 'Positive'}]"
60,This app is the best quran App have ever used... May Allah reward the developer and make using it easy for us.,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'quran', 'polarity': 'Positive'}]"
61,This app is good.....k byee 😄😄,"[{'aspect': 'app', 'polarity': 'Positive'}]"
62,This app is wonderful absolutely I didn't have any problem in using it. I thank you all may Allah subhanahu Wa ta'ala bless you all,"[{'aspect': 'app', 'polarity': 'Positive'}]"
63,I love that they added the dictionary,"[{'aspect': 'dictionary', 'polarity': 'Neutral'}]"
64,High performance quality Good more options Bookmarks are needed to be more easyer,"[{'aspect': 'performance quality', 'polarity': 'Positive'}, {'aspect': 'Bookmarks', 'polarity': 'Negative'}]"
65,Good app. It serves also on Albanian.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
66,Masha Allah.It's really excellent app.Actually I love this app.May Allah accept your activities.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
67,This is the best Quranic program I have ever worked with.,"[{'aspect': 'program', 'polarity': 'Positive'}]"
68,I love this app. Please improve the indopak mushaf.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
69,"It is a good islamic app, specially for those who are interested to jikr","[{'aspect': 'app', 'polarity': 'Positive'}]"
70,Whomever made this app thank you 😊,"[{'aspect': 'app', 'polarity': 'Positive'}]"
71,"Lovely app, keep up the good work, Allah reward you'll","[{'aspect': 'app', 'polarity': 'Positive'}]"
72,So many features. Easy to navigate and excellent choice of reciters. Jazakhallah khairun,"[{'aspect': 'navigate', 'polarity': 'Positive'}, {'aspect': 'choice', 'polarity': 'Positive'}]"
73,Very nicee.i love food of soul given.thank u!,"[{'aspect': 'food', 'polarity': 'Positive'}]"
74,Best for practicing Muslim & help full 💝✨👍,"[{'aspect': 'help', 'polarity': 'Positive'}]"
75,This App Very Helpful Thanks For Making This 💙,"[{'aspect': 'App', 'polarity': 'Positive'}]"
76,Best app to learn Quran without ads.,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'ads', 'polarity': 'Positive'}]"
77,It is the best app I have ever seen..I love this app,"[{'aspect': 'app', 'polarity': 'Positive'}]"
78,"This app is good, I enjoy using it","[{'aspect': 'app', 'polarity': 'Positive'}]"
79,Excellent Effort 👌👍 May Allāh Azzawajal reward the makers In this Dunya & Akhirah As well,"[{'aspect': 'makers', 'polarity': 'Positive'}]"
80,I get more experience alot by using this application.,"[{'aspect': 'application', 'polarity': 'Positive'}]"
81,It is an useful app to quran lover.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
82,this the best featured quran app i have ever seen but it would be best of the best if you add tafsir ibn khatir in bangla with full version. over all excellent jazakallah khair for such good work.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
83,This app is outstanding. I loved it. Becuse it's too halpfull for me.,"[{'aspect': 'app', 'polarity': 'Positive'}]"
84,I like the color coded tajwid thing. helps me a lot. the audio is also high quality,"[{'aspect': 'audio', 'polarity': 'Positive'}]"
